datum_vzniku,datum_zaniku,esa,esa_kod,ico,kpf,kpp,nazev_obce,npf,nuts4,nuts4k,of
2004-09-16,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26842815,112,100 - 199 zaměstnanců,Karviná,Společnost s ručením omezeným,Karviná,CZ0803,Stant Manufacturing s.r.o.
1999-07-30,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25785079,112,250 - 499 zaměstnanců,Kopřivnice,Společnost s ručením omezeným,Nový Jičín,CZ0804,"Erich Jaeger, s.r.o."
2004-03-24,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27137406,112,25 - 49 zaměstnanců,Staříč,Společnost s ručením omezeným,Frýdek-Místek,CZ0802,Alignum CZ s.r.o.
1996-06-27,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,64613828,112,100 - 199 zaměstnanců,Bohumín,Společnost s ručením omezeným,Karviná,CZ0803,Bekaert Bohumín s.r.o.
2005-04-21,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27238920,112,500 - 999 zaměstnanců,Hořátev,Společnost s ručením omezeným,Nymburk,CZ0208,Fresenius Kabi Horatev CZ s.r.o.
2005-01-26,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27214176,112,100 - 199 zaměstnanců,Vimperk,Společnost s ručením omezeným,Prachatice,CZ0315,OV Media s.r.o.
2005-01-28,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26084996,112,50 - 99 zaměstnanců,Kadaň,Společnost s ručením omezeným,Chomutov,CZ0422,Arla Plast s.r.o.
2004-02-12,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27125149,112,100 - 199 zaměstnanců,Myslinka,Společnost s ručením omezeným,Plzeň-sever,CZ0325,Elkamet s.r.o.
1991-10-01,,Nefinanční podniky soukromé národní,11002,00009971,121,1500 - 1999 zaměstnanců,Pelhřimov,Akciová společnost,Pelhřimov,CZ0633,"AGROSTROJ Pelhřimov, a.s."
1992-05-06,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,46708952,121,500 - 999 zaměstnanců,Trmice,Akciová společnost,Ústí nad Labem,CZ0427,"KS Kolbenschmidt Czech Republic, a. s."
1991-10-17,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,18825869,112,500 - 999 zaměstnanců,Slavkov u Brna,Společnost s ručením omezeným,Vyškov,CZ0646,"Lohmann & Rauscher, s.r.o."
1991-07-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,18600247,121,500 - 999 zaměstnanců,Beroun,Akciová společnost,Beroun,CZ0202,Cembrit a.s.
2005-02-02,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26853434,112,100 - 199 zaměstnanců,Krnov,Společnost s ručením omezeným,Bruntál,CZ0801,S.T.I. CZ s. r. o.
1994-06-08,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,60710756,121,500 - 999 zaměstnanců,Brno-Černovice,Akciová společnost,Brno-město,CZ0642,"Nová Mosilana, a.s."
1993-12-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,48173118,121,250 - 499 zaměstnanců,Svitavy,Akciová společnost,Svitavy,CZ0533,"Fibertex Nonwovens, a.s."
1992-02-27,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,44564422,112,500 - 999 zaměstnanců,Turnov,Společnost s ručením omezeným,Semily,CZ0514,ONTEX CZ s.r.o.
1991-12-30,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,14503603,112,200 - 249 zaměstnanců,Modřice,Společnost s ručením omezeným,Brno-venkov,CZ0643,"BACHL, spol. s r.o."
2004-10-25,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27190439,112,1 - 5 zaměstnanců,Kadaň,Společnost s ručením omezeným,Chomutov,CZ0422,Kyocera Solar Europe s.r.o. v likvidaci
1998-09-22,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25225227,112,1500 - 1999 zaměstnanců,Vyškov,Společnost s ručením omezeným,Vyškov,CZ0646,Lear Corporation Czech Republic s.r.o.
1997-09-30,,Nefinanční podniky soukromé národní,11002,25502492,121,50 - 99 zaměstnanců,Vrdy,Akciová společnost,Kutná Hora,CZ0205,Ethanol Energy a.s.
1993-06-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,49284975,112,1500 - 1999 zaměstnanců,Přelouč,Společnost s ručením omezeným,Pardubice,CZ0532,"KIEKERT-CS, s.r.o."
2005-07-05,,Nefinanční podniky soukromé národní,11002,27272401,121,Neuvedeno,Trmice,Akciová společnost,Ústí nad Labem,CZ0427,PLP a.s.
2005-03-11,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27227049,112,500 - 999 zaměstnanců,Opava (nečleněná část města),Společnost s ručením omezeným,Opava,CZ0805,"KSR Industrial, s.r.o."
1991-09-12,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,41031709,112,250 - 499 zaměstnanců,Hněvotín,Společnost s ručením omezeným,Olomouc,CZ0712,WANZL spol. s r.o.
1998-11-06,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25824031,112,500 - 999 zaměstnanců,Žďár nad Sázavou,Společnost s ručením omezeným,Žďár nad Sázavou,CZ0635,Cooper-Standard Automotive Česká republika s.r.o.
2005-12-31,,Nefinanční podniky soukromé národní,11002,26872307,121,500 - 999 zaměstnanců,Přerov,Akciová společnost,Přerov,CZ0714,PRECHEZA a.s.
1992-10-30,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,47252103,112,250 - 499 zaměstnanců,Český Krumlov,Společnost s ručením omezeným,Český Krumlov,CZ0312,Linde Pohony s.r.o.
2004-10-26,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27190455,112,250 - 499 zaměstnanců,Brno-Černovice,Společnost s ručením omezeným,Brno-město,CZ0642,Daikin Device Czech Republic s.r.o.
1993-07-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,48171131,121,2000 - 2499 zaměstnanců,Vysoké Mýto,Akciová společnost,Ústí nad Orlicí,CZ0534,"Iveco Czech Republic, a. s."
2005-05-26,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27248887,112,100 - 199 zaměstnanců,Žebrák,Společnost s ručením omezeným,Beroun,CZ0202,Muramoto Manufacturing Europe s.r.o.
2003-08-04,2007-12-31,,,27078396,121,250 - 499 zaměstnanců,Praha 10,Akciová společnost,Praha,CZ0100,Svoboda Press a.s.
2005-02-11,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27470024,112,100 - 199 zaměstnanců,Jilemnice,Společnost s ručením omezeným,Semily,CZ0514,MEHLER ENGINEERED PRODUCTS s.r.o.
1994-08-10,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,61173151,113,1500 - 1999 zaměstnanců,Blatná,Společnost komanditní,Strakonice,CZ0316,"DURA Automotive CZ, k.s."
1992-12-07,,Nefinanční podniky soukromé národní,11002,47672081,121,250 - 499 zaměstnanců,Česká Ves,Akciová společnost,Jeseník,CZ0711,Řetězárna a.s.
2004-12-31,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27208338,112,100 - 199 zaměstnanců,Moravská Třebová,Společnost s ručením omezeným,Svitavy,CZ0533,"Treboplast, s.r.o."
2000-02-28,2011-07-01,,,25592335,112,200 - 249 zaměstnanců,Břeclav,Společnost s ručením omezeným,Břeclav,CZ0644,OTIS Escalators s.r.o.
2005-07-27,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26866439,112,200 - 249 zaměstnanců,Karviná,Společnost s ručením omezeným,Karviná,CZ0803,Gates Hydraulics s.r.o.
1995-04-12,2010-09-01,,,63078911,121,25 - 49 zaměstnanců,Krahulov,Akciová společnost,Třebíč,CZ0634,"ADW Bio,a.s."
2005-10-04,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27278581,112,500 - 999 zaměstnanců,Podbořany,Společnost s ručením omezeným,Louny,CZ0424,FTE automotive Czechia s.r.o.
1994-10-21,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,62496867,112,50 - 99 zaměstnanců,Chanovice,Společnost s ručením omezeným,Klatovy,CZ0322,Haas Fertigbau Chanovice s.r.o.
2003-06-27,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26064120,121,1 - 5 zaměstnanců,Temelín,Akciová společnost,České Budějovice,CZ0311,"Jihočeský zemědělský lihovar, a.s."
2004-11-09,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26380102,112,50 - 99 zaměstnanců,Cheb,Společnost s ručením omezeným,Cheb,CZ0411,"JSP International, s.r.o."
2003-06-30,,Nefinanční podniky soukromé národní,11002,26899701,121,Neuvedeno,Brno-Bohunice,Akciová společnost,Brno-město,CZ0642,KORFIL a.s.
2005-10-11,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27385817,112,100 - 199 zaměstnanců,Krupka,Společnost s ručením omezeným,Teplice,CZ0426,"Tivall CZ, s.r.o."
2004-05-18,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27151531,112,500 - 999 zaměstnanců,Krupka,Společnost s ručením omezeným,Teplice,CZ0426,"Auto-Kabel Krupka, s.r.o."
2005-05-25,2014-02-14,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27249034,112,Neuvedeno,Praha 1,Společnost s ručením omezeným,Praha,CZ0100,Qisda Czech s.r.o. v likvidaci
1995-06-16,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,63468816,112,500 - 999 zaměstnanců,Praha 9,Společnost s ručením omezeným,Praha,CZ0100,"Kimberly-Clark, s.r.o."
2005-05-06,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27242293,112,100 - 199 zaměstnanců,Praha 13,Společnost s ručením omezeným,Praha,CZ0100,"KNAUF INSULATION, spol. s r.o."
1994-01-01,,Nefinanční podniky soukromé národní,11002,49903039,121,200 - 249 zaměstnanců,Povrly,Akciová společnost,Ústí nad Labem,CZ0427,Měď Povrly a.s.
1992-05-04,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,45148295,121,250 - 499 zaměstnanců,Benátky nad Jizerou,Akciová společnost,Mladá Boleslav,CZ0207,CARBORUNDUM ELECTRITE a.s.
2005-09-23,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26871009,112,100 - 199 zaměstnanců,Valašské Meziříčí,Společnost s ručením omezeným,Vsetín,CZ0723,"CIE METAL CZ, s.r.o."
2005-03-14,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27265579,112,100 - 199 zaměstnanců,Kadaň,Společnost s ručením omezeným,Chomutov,CZ0422,Donaldson Industrial CR s.r.o.
2005-07-28,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26092930,112,250 - 499 zaměstnanců,Prachatice,Společnost s ručením omezeným,Prachatice,CZ0315,InTiCa Systems s.r.o.
1996-01-29,,Nefinanční podniky soukromé národní,11002,63492202,121,100 - 199 zaměstnanců,Ptení,Akciová společnost,Prostějov,CZ0713,"Javořice, a.s."
1993-03-15,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,48591726,112,100 - 199 zaměstnanců,Letovice,Společnost s ručením omezeným,Blansko,CZ0641,Letoplast s.r.o.
2000-09-11,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25863321,112,500 - 999 zaměstnanců,Bruntál,Společnost s ručením omezeným,Bruntál,CZ0801,OSRAM Česká republika s.r.o.
1994-03-07,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,60278773,112,500 - 999 zaměstnanců,Chomutov,Společnost s ručením omezeným,Chomutov,CZ0422,SANDVIK CHOMUTOV PRECISION TUBES spol. s r.o.
2001-01-05,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26425173,112,500 - 999 zaměstnanců,Odry,Společnost s ručením omezeným,Nový Jičín,CZ0804,Semperflex Optimit s.r.o.
1996-01-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,49546694,113,250 - 499 zaměstnanců,Všetaty,Společnost komanditní,Mělník,CZ0206,"THIMM Obaly, k.s."
1993-05-03,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,48360716,112,500 - 999 zaměstnanců,Horšovský Týn,Společnost s ručením omezeným,Domažlice,CZ0321,Gerresheimer Horsovsky Tyn spol. s r.o.
2005-10-04,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27384098,112,500 - 999 zaměstnanců,Brno-Tuřany,Společnost s ručením omezeným,Brno-město,CZ0642,"ADC Czech Republic, s.r.o."
2006-01-04,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27413365,112,200 - 249 zaměstnanců,Praha 8,Společnost s ručením omezeným,Praha,CZ0100,CTS Czech Republic s.r.o.
2005-07-20,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26865688,112,250 - 499 zaměstnanců,Krnov,Společnost s ručením omezeným,Bruntál,CZ0801,Erdrich Umformtechnik s.r.o.
2005-07-22,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27365361,112,100 - 199 zaměstnanců,Cheb,Společnost s ručením omezeným,Cheb,CZ0411,HF-Czechforge s.r.o.
1992-09-21,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,47123915,112,100 - 199 zaměstnanců,Praha 8,Společnost s ručením omezeným,Praha,CZ0100,Mondelez Czech Republic s.r.o.
1992-12-15,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,47114851,113,250 - 499 zaměstnanců,Poříčí nad Sázavou,Společnost komanditní,Benešov,CZ0201,"Wrigley Confections ČR, kom. spol."
2004-11-18,2010-02-03,,,27195864,112,Neuvedeno,Brno-Slatina,Společnost s ručením omezeným,Brno-město,CZ0642,Ohmori Technos Czech s.r.o. - v likvidaci
1992-04-08,2007-12-31,,,44567171,112,250 - 499 zaměstnanců,Ústí nad Labem-Severní Terasa,Společnost s ručením omezeným,Ústí nad Labem,CZ0427,SEVEROTISK spol. s r.o.
2005-11-02,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27393526,112,100 - 199 zaměstnanců,Liberec (nečleněné město),Společnost s ručením omezeným,Liberec,CZ0513,"TRUMPF Liberec, spol. s r.o"
1994-12-01,,Nefinanční podniky soukromé národní,11002,62304992,112,250 - 499 zaměstnanců,Vítkovice,Společnost s ručením omezeným,Ostrava-město,CZ0806,"Vítkovické slévárny, spol. s r.o."
2005-06-22,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27257045,112,100 - 199 zaměstnanců,Praha 4,Společnost s ručením omezeným,Praha,CZ0100,"Zanini CZ, s.r.o."
2001-03-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26437171,112,500 - 999 zaměstnanců,Klášterec nad Ohří,Společnost s ručením omezeným,Chomutov,CZ0422,"Toyoda Gosei Czech, s.r.o."
2005-04-14,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27235475,112,200 - 249 zaměstnanců,Brno-Slatina,Společnost s ručením omezeným,Brno-město,CZ0642,DAIDO METAL CZECH s.r.o.
2006-02-20,2013-01-31,,,27426360,112,Neuvedeno,Praha 1,Společnost s ručením omezeným,Praha,CZ0100,ELITECHNICS Czech s.r.o.
1994-03-23,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,60839368,112,500 - 999 zaměstnanců,České Velenice,Společnost s ručením omezeným,Jindřichův Hradec,CZ0313,Magna Cartech spol. s r.o.
1995-04-28,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,61676578,112,250 - 499 zaměstnanců,Sadská,Společnost s ručením omezeným,Nymburk,CZ0208,Parker-Hannifin s.r.o.
2005-11-08,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26873460,112,100 - 199 zaměstnanců,Kopřivnice,Společnost s ručením omezeným,Nový Jičín,CZ0804,Röchling Automotive Kopřivnice s.r.o.
1992-03-04,,Nefinanční podniky soukromé národní,11002,45536724,112,200 - 249 zaměstnanců,Lanškroun,Společnost s ručením omezeným,Ústí nad Orlicí,CZ0534,SOMA spol. s r. o.
1995-03-01,,Nefinanční podniky soukromé národní,11002,62623753,121,1000 - 1499 zaměstnanců,Plzeň 3,Akciová společnost,Plzeň-město,CZ0323,ŠKODA TRANSPORTATION a.s.
2005-09-26,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26398966,112,100 - 199 zaměstnanců,Ejpovice,Společnost s ručením omezeným,Rokycany,CZ0326,Rondo obaly s.r.o.
2005-11-30,2009-11-27,,,27401481,112,Neuvedeno,Praha 1,Společnost s ručením omezeným,Praha,CZ0100,ELBEL s.r.o. v likvidaci
1992-05-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,45357366,121,2000 - 2499 zaměstnanců,Plzeň 3,Akciová společnost,Plzeň-město,CZ0323,"Plzeňský Prazdroj, a. s."
1993-07-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,49193864,112,1000 - 1499 zaměstnanců,Plzeň 3,Společnost s ručením omezeným,Plzeň-město,CZ0323,Doosan Škoda Power s.r.o.
1993-07-13,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,49193929,112,100 - 199 zaměstnanců,Ostrov,Společnost s ručením omezeným,Karlovy Vary,CZ0412,Lindner Türen - Fassaden s.r.o.
1994-07-07,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,60914084,112,200 - 249 zaměstnanců,Hlinsko,Společnost s ručením omezeným,Chrudim,CZ0531,Technolen technický textil s.r.o.
2005-12-16,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27407292,112,100 - 199 zaměstnanců,Praha 7,Společnost s ručením omezeným,Praha,CZ0100,Changhong Europe Electric s.r.o.
2000-01-31,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26150905,112,1000 - 1499 zaměstnanců,Mnichovo Hradiště,Společnost s ručením omezeným,Mladá Boleslav,CZ0207,MAHLE Behr Mnichovo Hradiště s.r.o.
2001-01-01,,Nefinanční podniky soukromé národní,11002,25870637,121,500 - 999 zaměstnanců,Moravská Ostrava a Přívoz,Akciová společnost,Ostrava-město,CZ0806,ŠKODA VAGONKA  a.s.
2005-07-11,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26865980,112,Neuvedeno,Ždánice,Společnost s ručením omezeným,Hodonín,CZ0645,RECYDE CZ s.r.o.
1994-01-01,,Nefinanční podniky soukromé národní,11002,60827882,121,250 - 499 zaměstnanců,Humpolec,Akciová společnost,Pelhřimov,CZ0633,Humpolecké strojírny Humpolec a.s.
1991-12-27,2010-11-01,,,43371931,112,250 - 499 zaměstnanců,Výčapy,Společnost s ručením omezeným,Třebíč,CZ0634,TEDOM s. r. o.
1990-07-09,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,00543411,112,250 - 499 zaměstnanců,Břeclav,Společnost s ručením omezeným,Břeclav,CZ0644,MORAVIAPRESS s.r.o.
1997-05-29,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25133152,112,2000 - 2499 zaměstnanců,Jihlava,Společnost s ručením omezeným,Jihlava,CZ0632,Automotive Lighting s.r.o.
1993-08-26,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,49812106,112,1000 - 1499 zaměstnanců,Jičín,Společnost s ručením omezeným,Jičín,CZ0522,RONAL CR s.r.o.
1991-05-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,18627781,112,250 - 499 zaměstnanců,Praha 8,Společnost s ručením omezeným,Praha,CZ0100,"UNILEVER ČR, spol. s r.o."
2000-12-11,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26417251,112,250 - 499 zaměstnanců,Borovnice,Společnost s ručením omezeným,Trutnov,CZ0525,Tessitura Monti Cekia s.r.o.
1995-12-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,64609855,112,500 - 999 zaměstnanců,Lanškroun,Společnost s ručením omezeným,Ústí nad Orlicí,CZ0534,"SCHOTT CR, s.r.o."
1996-11-27,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25012240,121,2500 - 2999 zaměstnanců,Bílina,Akciová společnost,Teplice,CZ0426,AGC Automotive Czech a.s.
2000-01-01,,Nefinanční podniky soukromé národní,11002,25849026,121,250 - 499 zaměstnanců,Vítkovice,Akciová společnost,Ostrava-město,CZ0806,VÍTKOVICE CYLINDERS a.s.
1992-06-08,,Nefinanční podniky soukromé národní,11002,46581979,112,250 - 499 zaměstnanců,Moravská Ostrava a Přívoz,Společnost s ručením omezeným,Ostrava-město,CZ0806,"Ostravské opravny a strojírny, s.r.o."
1991-10-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,14864576,121,1000 - 1499 zaměstnanců,Teplice,Akciová společnost,Teplice,CZ0426,"AGC Flat Glass Czech a.s., člen AGC Group"
1994-09-29,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,49823329,112,250 - 499 zaměstnanců,Vrdy,Společnost s ručením omezeným,Kutná Hora,CZ0205,GOLDBECK Prefabeton s.r.o.
1994-02-24,,Nefinanční podniky soukromé národní,11002,60778172,112,250 - 499 zaměstnanců,Český Těšín,Společnost s ručením omezeným,Karviná,CZ0803,"FINIDR, s.r.o."
1999-02-16,,Nefinanční podniky soukromé národní,11002,25830716,121,500 - 999 zaměstnanců,Třinec,Akciová společnost,Frýdek-Místek,CZ0802,"Slévárny Třinec, a.s."
2002-12-13,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26307391,112,1000 - 1499 zaměstnanců,Uničov,Společnost s ručením omezeným,Olomouc,CZ0712,Miele technika s.r.o.
1991-12-04,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,18953557,112,500 - 999 zaměstnanců,Vrbno pod Pradědem,Společnost s ručením omezeným,Bruntál,CZ0801,Husqvarna Manufacturing CZ s.r.o.
2000-12-04,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26230755,112,500 - 999 zaměstnanců,Drásov,Společnost s ručením omezeným,Brno-venkov,CZ0643,Siemens Electric Machines s.r.o.
2006-04-26,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27451321,112,200 - 249 zaměstnanců,Mikulov,Společnost s ručením omezeným,Břeclav,CZ0644,"EMERSON CLIMATE TECHNOLOGIES, s.r.o."
1991-07-31,,Nefinanční podniky soukromé národní,11002,41600983,112,100 - 199 zaměstnanců,Brno-střed,Společnost s ručením omezeným,Brno-město,CZ0642,"EKOL, spol. s r.o."
2006-08-23,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27775763,112,1000 - 1499 zaměstnanců,Mošnov,Společnost s ručením omezeným,Nový Jičín,CZ0804,MAHLE Behr Ostrava s.r.o.
2005-05-26,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27248887,112,100 - 199 zaměstnanců,Žebrák,Společnost s ručením omezeným,Beroun,CZ0202,Muramoto Manufacturing Europe s.r.o.
2006-05-18,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27455823,112,100 - 199 zaměstnanců,Brankovice,Společnost s ručením omezeným,Vyškov,CZ0646,EMS-PATVAG s.r.o.
1994-05-04,,Nefinanční podniky soukromé národní,11002,60913037,121,200 - 249 zaměstnanců,Nová Paka,Akciová společnost,Jičín,CZ0522,SQS Vláknová optika a.s.
1993-03-01,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,48244716,121,500 - 999 zaměstnanců,Dačice,Akciová společnost,Jindřichův Hradec,CZ0313,THK RHYTHM AUTOMOTIVE CZECH a.s.
2006-01-25,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26100045,112,500 - 999 zaměstnanců,Písek,Společnost s ručením omezeným,Písek,CZ0314,Faurecia Automotive Czech Republic s.r.o.
2006-08-28,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27776999,121,Neuvedeno,Praha 8,Akciová společnost,Praha,CZ0100,"P.V.T. Commercial Investment, a.s."
2005-09-27,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27382303,112,Neuvedeno,Praha 2,Společnost s ručením omezeným,Praha,CZ0100,ALUDEC CZECH s.r.o.
1996-09-20,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25203282,112,250 - 499 zaměstnanců,Cheb,Společnost s ručením omezeným,Cheb,CZ0411,Playmobil CZ spol. s r.o.
2005-09-06,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26869918,112,1500 - 1999 zaměstnanců,Hrabová,Společnost s ručením omezeným,Ostrava-město,CZ0806,SUNGWOO HITECH s.r.o.
2005-07-22,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27365450,112,100 - 199 zaměstnanců,Cheb,Společnost s ručením omezeným,Cheb,CZ0411,SCHNEEBERGER Mineralgusstechnik s.r.o.
2005-06-22,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27254500,112,200 - 249 zaměstnanců,Prostějov,Společnost s ručením omezeným,Prostějov,CZ0713,"MAIER CZ, s.r.o."
1998-01-20,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25639587,112,500 - 999 zaměstnanců,Bakov nad Jizerou,Společnost s ručením omezeným,Mladá Boleslav,CZ0207,Faurecia Exhaust Systems s.r.o.
2000-07-10,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26187329,112,250 - 499 zaměstnanců,Liberec (nečleněné město),Společnost s ručením omezeným,Liberec,CZ0513,DGS Druckguss Systeme s.r.o.
2006-04-10,2014-03-25,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27765431,112,1 - 5 zaměstnanců,Hrabová,Společnost s ručením omezeným,Ostrava-město,CZ0806,"Briggs & Stratton (Czech) Power Products, s.r.o., ""v likvidaci"""
2006-02-24,2011-01-01,,,26881845,112,Neuvedeno,Jablůnka,Společnost s ručením omezeným,Vsetín,CZ0723,"Nippon Kayaku CZ, s.r.o."
1992-12-28,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,47901977,112,500 - 999 zaměstnanců,Nová Ves,Společnost s ručením omezeným,Třebíč,CZ0634,MANN + HUMMEL (CZ) s.r.o.
1995-03-01,,Nefinanční podniky soukromé národní,11002,62623753,121,1000 - 1499 zaměstnanců,Plzeň 3,Akciová společnost,Plzeň-město,CZ0323,ŠKODA TRANSPORTATION a.s.
2001-04-18,,Nefinanční podniky soukromé národní,11002,25877950,121,1000 - 1499 zaměstnanců,Vítkovice,Akciová společnost,Ostrava-město,CZ0806,VÍTKOVICE HEAVY MACHINERY a.s.
1994-05-25,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,61465704,112,2500 - 2999 zaměstnanců,Kopřivnice,Společnost s ručením omezeným,Nový Jičín,CZ0804,Brose CZ spol. s r.o.
2006-06-05,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27769747,112,6 - 9 zaměstnanců,Staříč,Společnost s ručením omezeným,Frýdek-Místek,CZ0802,Mayr-Melnhof Pellets Paskov s.r.o.
2004-07-07,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25492080,112,1000 - 1499 zaměstnanců,Rumburk,Společnost s ručením omezeným,Děčín,CZ0421,Benteler Automotive Rumburk s.r.o.
2006-11-07,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,27781917,113,100 - 199 zaměstnanců,Leskovec,Společnost komanditní,Vsetín,CZ0723,KEMMERICH CZECH k.s.
1995-10-23,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,63509326,121,250 - 499 zaměstnanců,Nejdek,Akciová společnost,Karlovy Vary,CZ0412,"Nejdecká česárna vlny, a. s."
1997-03-20,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,25114638,121,500 - 999 zaměstnanců,Vsetín,Akciová společnost,Vsetín,CZ0723,INDET SAFETY SYSTEMS a.s.
2000-02-28,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,26158485,112,200 - 249 zaměstnanců,Blansko,Společnost s ručením omezeným,Blansko,CZ0641,"Synthon, s.r.o."
